,ele,lat,lon,distance
398,46.446,-12.5459362,131.0628112,31842.688555550707
399,45.5038333,-12.5465485,131.0632383,31925.0601663
400,44.5616667,-12.5471608,131.0636655,32007.431777
401,43.6195,-12.5477732,131.0640926,32089.8033877
402,42.6773333,-12.5483855,131.0645197,32172.1749984
403,41.7351667,-12.5489978,131.0649469,32254.5466091
404,40.793,-12.5496101,131.065374,32336.91821986246
405,41.608,-12.5501749,131.0657778,32413.5004959
406,42.423,-12.5507396,131.0661817,32490.082772005542
407,42.701,-12.5517266,131.0668761,32623.221236859237
408,41.351,-12.5524323,131.067378,32718.74657410989
409,40.8165,-12.5528792,131.0676987,32779.418319
410,40.282,-12.5533262,131.0680193,32840.0900639
411,39.7475,-12.5537731,131.06834,32900.7618088
412,39.213,-12.55422,131.0686607,32961.433553644776
413,39.578,-12.5552095,131.069347,33094.30457803741
414,38.506,-12.5554877,131.0695407,33131.70674483318
415,38.758,-12.5561464,131.0699994,33220.2709732
416,39.01,-12.5568051,131.0704582,33308.8352015
417,39.262,-12.5574638,131.0709169,33397.399429800585
418,41.224,-12.5578089,131.0711434,33442.97186601085
419,40.442,-12.5585337,131.0716038,33537.8139932677
420,41.791,-12.5592922,131.0720303,33634.03548208941
421,41.412,-12.5598402,131.072301,33701.68344607003
422,41.909,-12.560927,131.0727524,33832.17390964869
423,38.358,-12.5616405,131.0730085,33916.23957152264
424,37.29,-12.5619021,131.0731007,33947.0012589156
425,38.693,-12.5627035,131.0733246,34039.3700742245
426,37.474,-12.5633022,131.0734338,34106.98922154451
427,37.399,-12.5638025,131.0734942,34163.010616758234
428,35.637,-12.5647876,131.0735879,34273.052959728164
