,ele,lat,lon,distance,temp
13369,399.781,-20.5325469,134.2748681,1091848.4339314296,13648.0
13372,396.663,-20.5332184,134.2748265,1091923.2356842987,13649.0
13375,395.0,-20.5340411,134.2747067,1092015.5861478036,13650.0
13379,393.11,-20.5347002,134.274552,1092090.6364631196,13651.0
13384,396.518,-20.5354416,134.2743288,1092176.304904431,13652.0
13386,397.439,-20.5361266,134.2741127,1092255.7277990344,13653.0
13390,398.393,-20.5371549,134.2737833,1092375.1044301363,13654.0
13392,397.74,-20.5374899,134.273686,1092413.707992994,13655.0
13394,399.368,-20.5383203,134.2735088,1092507.8989026037,13656.0
13396,398.655,-20.5388095,134.2734356,1092562.8278789094,13657.0
13399,398.794,-20.5399516,134.2733906,1092690.02463886,13658.0
13401,398.728,-20.5402632,134.2734089,1092724.7253369114,13659.0
13403,399.44,-20.5412766,134.2735346,1092838.1995683277,13660.0
13404,400.039,-20.5417853,134.2736069,1092895.26319589,13661.0
13406,404.27,-20.5426383,134.2736918,1092990.5605229628,13662.0
13408,404.821,-20.5433161,134.273686,1093065.9544292062,13663.0
13410,400.262,-20.5441013,134.2736036,1093153.7194174884,13664.0
13412,401.859,-20.5447027,134.2734963,1093221.518949369,13665.0
13414,403.11,-20.5456429,134.2732359,1093329.5572852879,13666.0
13415,403.515,-20.5459062,134.2731394,1093360.5110753581,13667.0
13418,402.0,-20.5469399,134.2726794,1093485.1236813786,13668.0
13419,404.044,-20.5472499,134.2725155,1093523.5871727893,13669.0
13421,404.297,-20.5479682,134.2720647,1093616.3011476768,13670.0
13424,406.946,-20.5485999,134.2715763,1093703.0500260983,13671.0
13427,408.097,-20.5490618,134.2711545,1093770.6275318125,13672.0
13429,407.238,-20.5495105,134.2706903,1093840.0922262238,13673.0
13431,408.988,-20.550332,134.269628,1093983.6703809958,13674.0
13432,411.448,-20.5505434,134.2692836,1094026.5468958125,13675.0
13434,410.522,-20.5509297,134.2685748,1094111.9433113418,13676.0
13436,413.678,-20.5514836,134.2673116,1094257.1796559596,13678.0
