Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
14/08:53:21,0.48,2.38,117.84,0.011,35.12,0.0,221
14/08:53:21,0.49,2.38,117.84,0.011,35.12,0.0,222
14/08:53:22,0.49,2.37,117.83,0.011,35.12,0.0,223
14/08:53:22,0.49,2.37,117.83,0.011,35.12,0.0,224
14/08:53:23,0.49,2.36,117.83,0.0,35.12,0.0,225
14/08:53:23,0.49,2.36,117.83,0.0,35.12,0.0,226
14/08:53:24,0.49,2.36,117.84,0.011,35.12,0.0,227
14/08:53:25,0.49,2.36,117.84,0.011,35.12,0.0,228
14/08:53:25,0.49,2.37,117.84,0.011,35.12,0.0,229
14/08:53:26,0.49,2.38,117.85,0.011,35.12,0.0,230
14/08:53:26,0.49,2.39,117.86,0.011,35.12,0.0,231
14/08:53:27,0.49,2.4,117.86,0.011,35.12,0.0,232
14/08:53:27,0.49,2.4,117.86,0.022,35.12,0.0,233
14/08:53:28,0.49,2.41,117.86,0.022,35.12,0.0,234
14/08:53:28,0.49,2.43,117.86,0.011,35.12,0.0,235
14/08:53:29,0.49,2.44,117.87,0.0,35.12,0.0,236
14/08:53:29,0.49,2.46,117.87,0.011,35.12,0.0,237
14/08:53:30,0.49,2.47,117.86,0.011,35.12,0.0,238
14/08:53:30,0.49,2.48,117.87,0.011,35.12,0.0,239
14/08:53:31,0.49,2.49,117.87,0.011,35.12,0.0,240
14/08:53:31,0.49,2.51,117.87,0.0,35.12,0.0,241
14/08:53:32,0.49,2.53,117.86,0.0,35.12,0.0,242
14/08:53:32,0.49,2.53,117.86,0.0,35.12,0.0,243
14/08:53:33,0.49,2.53,117.85,0.0,35.12,0.0,244
14/08:53:33,0.49,2.54,117.86,0.0,35.12,0.0,245
14/08:53:34,0.49,2.54,117.86,0.011,35.12,0.0,246
14/08:53:34,0.49,2.54,117.86,0.011,35.12,0.0,247
14/08:53:35,0.49,2.54,117.86,0.022,35.12,0.0,248
14/08:53:36,0.49,2.54,117.87,0.011,35.12,0.0,249
14/08:53:36,0.49,2.53,117.86,0.011,35.12,0.0,250
14/08:53:36,0.49,2.53,117.87,0.011,35.12,0.0,251
14/08:53:37,0.49,2.53,117.87,0.022,35.12,0.0,252
14/08:53:38,0.48,2.53,117.86,0.011,35.12,0.0,253
14/08:53:39,0.48,2.53,117.86,0.011,35.13,0.0,254
14/08:53:39,0.48,2.53,117.86,0.011,35.13,0.0,255
14/08:53:40,0.48,2.53,117.86,0.011,35.13,0.0,256
14/08:53:40,0.49,2.53,117.87,0.011,35.13,0.0,257
14/08:53:41,0.49,2.54,117.86,0.011,35.13,0.0,258
14/08:53:41,0.49,2.54,117.85,0.022,35.13,0.0,259
14/08:53:42,,,,,,,260
14/08:53:42,0.49,2.54,117.85,0.022,35.13,0.0,261
14/08:53:43,0.49,2.54,117.85,0.022,35.13,0.0,262
14/08:53:44,0.49,2.54,117.85,0.011,35.13,0.0,263
14/08:53:44,0.49,2.53,117.85,0.011,35.13,0.0,264
14/08:53:45,0.49,2.53,117.84,0.011,35.13,0.0,265
14/08:53:45,0.46,2.45,118.03,0.011,35.13,0.0,266
14/08:53:45,0.39,2.15,118.61,0.011,35.13,0.0,267
